ID,Xshape,Yshape,File_Extension
931,300,500,jpg
932,300,207,jpg
933,300,204,jpg
934,300,433,jpg
935,300,450,jpg
936,300,283,jpg
937,300,250,jpg
938,300,451,jpg
939,300,421,jpg
940,300,442,jpg
941,300,238,jpg
942,300,400,jpg
943,300,400,jpg
944,300,451,jpg
945,300,451,jpg
946,300,205,jpg
947,300,415,jpg
948,300,225,jpg
949,300,450,jpg
950,300,321,jpg
951,300,199,jpg
952,300,533,jpg
953,300,466,jpg
954,300,534,jpg
955,300,475,jpg
956,300,450,jpg
957,300,450,jpg
958,300,564,jpg
959,300,583,jpg
960,300,420,jpg
961,300,450,jpg
962,300,390,jpg
963,300,353,jpg
964,300,200,jpg
965,300,338,jpg
966,300,449,jpg
967,300,199,jpg
968,300,420,jpg
969,300,199,jpg
970,300,463,jpg
971,300,534,jpg
972,300,376,jpg
973,300,220,jpg
974,300,419,jpg
975,300,199,jpg
976,300,448,jpg
977,300,451,jpg
978,300,450,jpg
979,300,347,jpg
980,300,450,jpg
981,300,451,jpg
982,300,199,jpg
983,300,425,jpg
984,300,450,jpg
985,300,400,jpg
986,300,192,jpg
987,300,296,jpg
988,300,238,jpg
989,300,168,jpg
990,300,451,jpg
991,300,200,jpg
992,300,400,jpg
993,300,451,jpg
994,300,678,jpg
995,300,199,jpg
996,300,275,jpg
997,300,200,jpg
998,300,450,jpg
999,300,347,jpg
1000,300,450,jpg
1001,300,457,jpg
1002,300,276,jpg
1003,300,440,jpg
1004,300,240,jpg
1005,300,453,jpg
1006,300,451,jpg
1007,300,393,jpg
1008,300,217,jpg
1009,300,462,jpg
1010,300,450,jpg
1011,300,587,jpg
1012,300,360,jpg
1013,300,450,jpg
1014,300,420,jpg
1015,300,199,jpg
1016,300,199,jpg
1017,300,202,jpg
1018,300,477,jpg
1019,300,450,jpg
1020,300,450,jpg
1021,300,450,jpg
1022,300,400,jpg
1023,300,280,jpg
1024,300,424,jpg
1025,300,390,jpg
1026,300,225,jpg
1027,300,200,jpg
1028,300,277,jpg
1029,300,300,jpg
1030,300,450,jpg
1031,300,199,jpg
1032,300,175,jpg
1033,300,200,jpg
1034,300,199,jpg
1035,300,466,jpg
1036,300,450,jpg
1037,300,199,jpg
1038,300,200,jpg
1039,300,199,jpg
1040,300,294,jpg
1041,300,436,jpg
1042,300,450,jpg
1043,300,482,jpg
1044,300,451,jpg
1045,300,502,jpg
1046,300,435,jpg
1047,300,451,jpg
1048,300,450,jpg
1049,300,358,jpg
1050,300,534,jpg
1051,300,487,jpg
1052,300,450,jpg
1053,300,221,jpg
1054,300,447,jpg
1055,300,447,jpg
1056,300,450,jpg
1057,300,199,jpg
1058,300,199,jpg
1059,300,534,jpg
1060,300,430,jpg
1061,300,450,jpg
1062,300,484,jpg
1063,300,226,jpg
1064,300,400,jpg
1065,300,450,jpg
1066,300,450,jpg
1067,300,400,jpg
1068,300,450,jpg
1069,300,534,jpg
1070,300,200,jpg
1071,300,200,jpg
1072,300,450,jpg
1073,300,458,jpg
1074,300,199,jpg
1075,300,226,jpg
1076,300,420,jpg
1077,300,449,jpg
1078,300,400,jpg
1079,300,437,jpg
1080,300,450,jpg
1081,300,391,jpg
1082,300,452,jpg
1083,300,450,jpg
1084,300,486,jpg
1085,300,453,jpg
1086,300,225,jpg
1087,300,225,jpg
1088,300,200,jpg
1089,300,321,jpg
1090,300,469,jpg
1091,300,451,jpg
1092,300,464,jpg
1093,300,534,jpg
1094,300,204,jpg
1095,300,370,jpg
1096,300,200,jpg
1097,300,534,jpg
1098,300,450,jpg
1099,300,199,jpg
1100,300,199,jpg
1101,300,363,jpg
1102,300,450,jpg
1103,300,279,jpg
1104,300,451,jpg
1105,300,400,jpg
1106,300,450,jpg
1107,300,194,jpg
1108,300,461,jpg
1109,300,451,jpg
1110,300,199,jpg
1111,300,450,jpg
1112,300,472,jpg
1113,300,467,jpg
1114,300,224,jpg
1115,300,199,jpg
1116,300,406,jpg
1117,300,419,jpg
1118,300,401,jpg
1119,300,199,jpg
1120,300,450,jpg
1121,300,188,jpg
1122,300,448,jpg
1123,300,450,jpg
1124,300,225,jpg
1125,300,451,jpg
1126,300,408,jpg
1127,300,450,jpg
1128,300,451,jpg
1129,300,260,jpg
1130,300,450,jpg
1131,300,450,jpg
1132,300,228,jpg
1133,300,199,jpg
1134,300,200,jpg
1135,300,199,jpg
1136,300,450,jpg
1137,300,168,jpg
1138,300,200,jpg
1139,300,226,jpg
1140,300,450,jpg
1141,300,451,jpg
1142,300,168,jpg
1143,300,412,jpg
1144,300,200,jpg
1145,300,199,jpg
1146,300,450,jpg
1147,300,221,jpg
1148,300,375,jpg
1149,300,450,jpg
1150,300,198,jpg
1151,300,431,jpg
1152,300,450,jpg
1153,300,459,jpg
